County,C_ID
Not in a metropolitan area,99999
"San Antonio-New Braunfels, TX",41700
"Los Angeles-Long Beach-Anaheim, CA",31080
"Detroit-Warren-Dearborn, MI",19820
"Pittsburgh, PA",38300
"Atlanta-Sandy Springs-Roswell, GA",12060
"San Francisco-Oakland-Hayward, CA",41860
All other metropolitan areas,99998
"Cincinnati, OH-KY-IN",17140
"Oklahoma City, OK",36420
"San Jose-Sunnyvale-Santa Clara, CA",41940
"Houston-The Woodlands-Sugar Land, TX",26420
"Richmond, VA",40060
"Dallas-Fort Worth-Arlington, TX",19100
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980
"Tampa-St. Petersburg-Clearwater, FL",45300
"New Orleans-Metairie, LA",35380
"Baltimore-Columbia-Towson, MD",12580
"Riverside-San Bernardino-Ontario, CA",40140
"Rochester, NY",40380
"Memphis, TN-MS-AR",32820
"Denver-Aurora-Lakewood, CO",19740
"Las Vegas-Henderson-Paradise, NV",29820
"Portland-Vancouver-Hillsboro, OR-WA",38900
"Kansas City, MO-KS",28140
"Chicago-Naperville-Elgin, IL-IN-WI",16980
"Seattle-Tacoma-Bellevue, WA",42660
"Milwaukee-Waukesha-West Allis, WI",33340
"Cleveland-Elyria, OH",17460
"Minneapolis-St. Paul-Bloomington, MN-WI",33460
"Raleigh, NC",39580
"Birmingham-Hoover, AL",13820
"New York-Newark-Jersey City, NY-NJ-PA",35620
"Boston-Cambridge-Newton, MA-NH",14460
"Miami-Fort Lauderdale-West Palm Beach, FL",33100
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900
"Phoenix-Mesa-Scottsdale, AZ",38060
